Source	Site	alt	cont	Treat	Block	Plot	uIDS	IDS	trans	size	flo.if	flo.no	cloning	clonesNext	surv	offspringNext	stage	stageNext	sizeNext
Gud	Gud	1	3	TT1	Gud_3	163	163.5	5	09_10	4,953471693	0	NA	1	2	0	NA	continuous	dead	NA
Gud	Gud	1	3	TT1	Gud_3	163	163.6	6	09_10	6,6777	NA	NA	NA	NA	NA	clonal	NA	continuous	4,953471693
Gud	Gud	1	3	TT1	Gud_3	163	163.7	7	09_10	4,9535	NA	NA	NA	NA	NA	clonal	NA	continuous	5,641427984
Gud	Gud	1	3	TT1	Gud_3	163	163.8	8	09_10	4,9535	NA	NA	NA	NA	NA	clonal	NA	continuous	4,953471693
Gud	Gud	1	3	TT1	Gud_3	163	163.9	9	09_10	NA	NA	NA	NA	NA	NA	sexual	NA	continuous	4,093526329
Gud	Gud	1	3	TT1	Gud_3	163	163.10	10	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gud	Gud	1	3	TT1	Gud_3	163	163.11	11	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gud	Gud	1	3	TT1	Gud_3	163	163.12	12	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gud	Gud	1	3	TT1	Gud_5	173	173.1	1	09_10	4,609493547	0	NA	1	1	0	NA	continuous	dead	NA
Gud	Gud	1	3	TT1	Gud_5	173	173.10	10	09_10	4,955626376	0	NA	1	1	0	NA	continuous	dead	NA
Gud	Gud	1	3	TT1	Gud_5	173	173.2	2	09_10	5,297449839	0	NA	0	NA	1	NA	continuous	continuous	5,813417057
Gud	Gud	1	3	TT1	Gud_5	173	173.3	3	09_10	5,813417057	0	NA	0	NA	0	NA	continuous	dead	NA
Gud	Gud	1	3	TT1	Gud_5	173	173.4	4	09_10	6,847506177	0	NA	0	NA	0	NA	continuous	dead	NA
Gud	Gud	1	3	TT1	Gud_5	173	173.5	5	09_10	4,953471693	0	NA	0	NA	0	NA	continuous	dead	NA
Gud	Gud	1	3	TT1	Gud_5	173	173.6	6	09_10	5,98540613	0	NA	0	NA	0	NA	continuous	dead	NA
Gud	Gud	1	3	TT1	Gud_5	173	173.7	7	09_10	5,813417057	0	NA	0	NA	1	NA	continuous	continuous	7,193639005
Gud	Gud	1	3	TT1	Gud_5	173	173.8	8	09_10	4,609493547	0	NA	0	NA	1	NA	continuous	continuous	4,61164823
Gud	Gud	1	3	TT1	Gud_5	173	173.9	9	09_10	4,953471693	0	NA	1	2	0	NA	continuous	dead	NA
Gud	Gud	1	3	TT1	Gud_5	173	173.11	11	09_10	4,6095	NA	NA	NA	NA	NA	clonal	NA	continuous	4,78148262
